CustomerId,FirstName,LastName,CountryCode,City,BirthDate
1,Yolanda,Wagner,GB,Liverpool,02/24/1969
2,Arnold,Harmon,IE,Tralee,11/01/1943
3,Minh,Casey,FR,Paris,11/24/1975
4,Russell,McIntyre,GB,Liverpool,08/05/1991
5,Angelina,Santiago,IE,Tralee,08/22/1976
6,Sabrina,Conway,GB,London,06/25/1962
7,Jacqueline,Zimmerman,GB,Liverpool,05/04/2001
8,Dewey,Francis,GB,London,01/10/1956
9,Haley,McDowell,GB,Manchester,04/25/1986
10,Brittany,Tate,GB,London,04/07/1989
11,Dario,Morse,GB,Liverpool,06/02/1966
12,Josh,Conrad,GB,London,10/18/1982
13,Coleman,Rios,GB,London,01/17/1950
14,Shari,Nieves,GB,London,05/04/1982
15,Keri,Reyes,IE,Tralee,02/09/1994
16,Lacy,Cross,GB,Manchester,04/03/1997
17,Willie,Bonner,GB,London,08/02/1949
18,Silvia,Justice,GB,London,02/03/1965
19,Jody,Vinson,GB,Liverpool,04/06/1960
20,Clifford,Kent,GB,London,11/14/1989
21,Rafael,Garner,GB,London,08/27/1948
22,Leigh,Lott,GB,London,03/12/1962
23,Jean,Burgess,IE,Tralee,03/14/1999
24,Andrew,Schwartz,GB,Liverpool,10/20/1995
25,Reyna,Hogan,FR,Paris,01/11/1992
26,Abby,Dominguez,IE,Tralee,03/26/1967
27,Tristan,Salas,IE,Limerick,02/02/1989
28,Bill,Wells,IE,Tralee,06/22/1993
29,Antony,Lowe,GB,London,04/02/1949
30,Hershel,Rodriguez,GB,Liverpool,11/02/1955
31,Valeria,Phillips,GB,Liverpool,05/10/1981
32,Jeffery,Daniel,IE,Tralee,05/07/1968
33,Dolly,Rodriguez,GB,Liverpool,02/25/1994
34,Josef,Mitchell,IE,Limerick,07/23/1996
35,Tristan,Merritt,GB,Liverpool,05/18/2000
36,Jan,Copeland,GB,London,02/06/1968
37,Kaye,Freeman,GB,London,08/04/1979
38,Salvador,Nieves,GB,London,08/27/1969
39,Harrison,Lindsay,GB,Liverpool,10/07/1965
40,Dillon,Hurley,IE,Tralee,07/11/1974
41,Horacio,Alvarez,GB,London,03/27/1961
42,Joshua,Howe,GB,London,08/21/1978
43,Chi,Barry,GB,Birmingham,06/27/1998
44,Janet,Greer,IE,Tralee,04/17/1999
45,Kelly,McGuire,GB,London,04/14/1975
46,Kathy,Garcia,GB,London,02/11/1961
47,Erich,Melendez,GB,Liverpool,09/14/1972
48,Grant,Pope,GB,London,09/19/1956
49,Carla,Cross,GB,Birmingham,08/17/1984
50,Louise,Whitney,GB,Birmingham,10/12/1955
51,Aurelio,Crosby,GB,Liverpool,06/05/1987
52,Jewell,Frazier,GB,Birmingham,06/11/1965
53,Jonathon,Padilla,IE,Limerick,07/04/2002
54,Linda,Rogers,IE,Limerick,06/06/1960
55,Gayle,Michael,IE,Tralee,04/23/2002
56,Thomas,Booker,GB,London,07/11/1949
57,Cheryl,Morse,GB,Manchester,04/02/1991
58,Janell,Chaney,GB,Liverpool,10/26/1942
59,Rhonda,Mooney,FR,Paris,11/18/1993
60,Glenna,Bishop,GB,Manchester,11/03/1956
61,Scotty,Harrison,GB,London,09/09/1994
62,Everett,Bender,GB,London,07/16/1949
63,Jerald,Black,GB,London,02/23/1942
64,Rena,Graves,GB,London,03/05/1983
65,Rebekah,McGowan,GB,Birmingham,04/22/1978
66,Karl,Dean,IE,Tralee,07/22/1957
67,Lorna,Knight,IE,Tralee,03/21/2000
68,Lacy,Guy,GB,Manchester,10/03/1955
69,Madelyn,Carrillo,FR,Paris,05/16/1971
70,Porter,Pace,GB,Liverpool,01/17/1984
71,Shelby,Ferrell,GB,London,11/02/1957
72,Marta,Parsons,GB,Liverpool,02/25/1991
73,Quentin,Lara,GB,Liverpool,08/14/1948
74,Kasey,Owen,GB,Liverpool,10/25/1942
75,Maxwell,Walter,GB,Manchester,05/26/1994
76,Terrie,Cruz,GB,London,03/12/1951
77,Dolly,Boyer,GB,Manchester,09/17/1969
78,Chet,Knowles,IE,Limerick,04/27/1968
79,Caleb,Mullins,GB,Manchester,04/16/1943
80,Krystal,Daniel,IE,Tralee,05/17/1987
